CH 331,BB 350
CH 332,BB 350
CH 233,OR 352
CH 263,OR 352
CE 372,OR 866
BI 370,OR 839
BI 371,OR 839
CH 201,OR 196
FST 460,FST 461
OR 855,FST 461
CEM 311,OR 626
ENGR 213,OR 614
ENGR 213H,OR 614
GEOG 201,OR 910
GEO 301,OR 910
CH 221,OR 214
BI 370,OR 296
BI 370H,OR 296
CH 123,OR 543
CH 223,OR 543
CH 226H,OR 543
OR 452,CBEE 211
OR 622,CE 361
ENGR 213,CE 361
PH 213,CE 361
ST 314,CE 361
OR 66,MTH 252H
CH 123,OR 1591
CH 331,OR 1591
OR 344,OR 342
OR 20,OR 342
OR 173,ENGR 213H
CE 313,CE 415
GEOG 480,OR 918
GEOG 580,OR 918
GEO 444,OR 918
GEO 544,OR 918
FES 141,OR 859
FES 241,OR 859
BI 212,OR 21
BI 212H,OR 21
BI 311,OR 305
BI 311H,OR 305
BI 314,OR 305
BI 314H,OR 305
OR 537,CH 262H
CH 331,CH 332
MTH 480,OR 1197
MTH 481,OR 1197
MTH 581,OR 1197
OR 180,BEE 468
MTH 241,OR 722
MTH 251,OR 722
MTH 251H,OR 722
OR 176,BEE 433
OR 179,BEE 458
OR 458,CBEE 212H
OR 454,CBEE 212H
OR 232,BI 213
OR 237,BI 213
PH 201,OR 87
PH 201H,OR 87
PH 211,OR 87
PH 211H,OR 87
BEE 311,OR 174
CE 311,OR 174
CHE 331,OR 174
CHE 331H,OR 174
CH 121,BI 206
OR 205,BI 206
OR 196,BI 206
OR 198,OR 226
OR 219,OR 226
OR 173,CEM 311
MB 302,MB 303
OR 305,BI 420
OR 1134,MTH 251H
CH 231,OR 234
CH 231H,OR 234
OR 173,ENGR 213
OR 214,CH 232
OR 234,CH 232
ENGR 213,FE 315
OR 1155,OR 1183
OR 805,OR 804
OR 98,OR 804
CH 332,OR 1306
CH 335,OR 1306
OR 219,OR 216
OR 198,OR 216
OR 452,MTH 264H
OR 555,CH 337
OR 556,CH 337
OR 222,BI 212H
ENVE 321,OR 807
ENVE 322,OR 807
CH 201,OR 499
OR 500,OR 499
FE 309,OR 870
GEOG 480,OR 870
GEOG 481,OR 870
GEO 444,OR 870
GEO 466,OR 870
CH 261,OR 537
CH 261H,OR 537
CH 271,OR 537
CH 221,OR 537
CH 224H,OR 537
OR 798,ENGR 212
OR 173,ENGR 212
MTH 253,OR 1194
MTH 253H,OR 1194
AREC 351,OR 877
FOR 330,OR 877
MTH 256H,OR 456
CE 313,CE 412
OR 198,OR 197
OR 208,OR 197
OR 114,OR 1307
OR 153,OR 1307
OR 171,BEE 311
OR 173,BEE 311
OR 95,BEE 311
OR 1134,MTH 227
CE 311,OR 621
CHE 331,OR 621
CHE 331H,OR 621
OR 342,OR 340
OR 21,OR 340
CH 334,OR 556
CH 335,OR 556
CH 336,OR 556
MTH 065,MTH 103
CE 373,OR 644
FE 316,OR 644
OR 809,OR 808
OR 810,OR 808
ENVE 421,OR 808
OR 807,OR 808
OR 110,BI 370
OR 114,BI 370
OR 862,FE 208
MTH 256,OR 458
OR 456,OR 458
OR 844,FST 360
OR 845,FST 360
MTH 111,MTH 241
CH 122,CH 123
OR 502,CH 123
FE 208,OR 864
FE 308,OR 864
OR 504,OR 954
OR 505,OR 954
OR 214,CH 232H
OR 234,CH 232H
CBEE 212H,OR 460
CH 233,OR 133
CH 233H,OR 133
OR 504,CH 233H
OR 534,CH 233H
FE 315,FE 316
OR 866,FE 316
OR 877,FE 457
OR 808,ENVE 431
OR 537,CH 262
OR 877,FOR 457
OR 452,MTH 265H
OR 110,BI 311
OR 114,BI 311
OR 135,BB 450
FOR 206,OR 1544
OR 864,FE 310
OR 865,FE 310
CH 121,BI 205
OR 196,BI 205
OR 197,BI 205
OR 452,MTH 264
OR 804,ENVE 322
ENGR 211,FE 371
FE 102,FE 371
ST 421,ST 422
CH 271,OR 541
CH 221,OR 541
CH 224H,OR 541
CH 331,MB 479
CH 332,MB 479
MB 302,MB 479
OR 21,MB 479
OR 858,MB 479
OR 234,OR 237
OR 235,OR 237
WR 121,OR 1612
WR 121H,OR 1612
WR 121,OR 1612
OR 1197,MTH 482
OR 452,MTH 306
BEE 313,OR 179
CE 412,OR 179
OR 66,MTH 252
MTH 256,OR 98
MTH 256H,OR 98
ENGR 211,OR 173
ENGR 211H,OR 173
GEO 102,OR 931
GEO 102H,OR 931
GEO 202,OR 931
CH 331,FST 466
CH 332,FST 466
OR 21,FST 466
MTH 251,OR 508
CCE 201,OR 622
CE 202,OR 622
MTH 112,BEE 472
OR 181,BEE 472
PH 201,BEE 472
OR 644,CE 479
OR 514,CH 202
OR 1194,OR 1193
MTH 341,OR 1193
CH 222,OR 805
CH 232,OR 805
CH 232H,OR 805
CH 225H,OR 805
BEE 320,BEE 322
BEE 472,FST 490
FST 360,FST 490
CH 263,OR 546
CH 263H,OR 546
CH 273,OR 546
OR 623,CE 465
OR 1306,MB 302
OR 1307,MB 302
OR 22,OR 344
OR 452,MTH 254H
MTH 241,OR 610
CE 201,OR 619
CCE 201,OR 619
ENGR 248,OR 619
CH 261H,OR 201
OR 898,FOR 441
OR 859,FOR 441
BEE 221,OR 180
ENVE 322,OR 180
MTH 254H,OR 513
CH 261,OR 235
CH 261H,OR 235
CH 271,OR 235
MTH 252H,OR 511
MTH 095,OR 1132
MTH 103,OR 1132
BEE 469,BEE 470
OR 539,CH 263
OR 1134,MTH 251
CH 231H,OR 94
OR 20,BEE 221
OR 98,BEE 221
ST 201,ST 202
OR 452,CBEE 211H
CH 271,OR 202
MTH 111,CH 231
OR 101,CH 231
OR 507,CH 231
OR 508,CH 231
OR 509,CH 231
OR 510,CH 231
OR 511,CH 231
OR 513,CH 231
OR 296,BI 371
MTH 252,OR 452
MTH 252H,OR 452
CH 121,CH 122
OR 499,CH 122
OR 839,FW 456
OR 452,ENGR 211H
CH 331,FST 479
CH 332,FST 479
OR 858,FST 479
MB 302,FST 479
OR 21,FST 479
CH 262,OR 505
CH 262H,OR 505
CH 272,OR 505
CH 202,CH 205
OR 95,CH 440
MTH 254,OR 95
MTH 254H,OR 95
CE 372,OR 629
FE 315,OR 629
CH 262,OR 539
CH 262H,OR 539
CH 272,OR 539
CH 222,OR 539
CH 225H,OR 539
CBEE 212,OR 470
OR 460,OR 470
MTH 252,OR 510
OR 910,GEOG 370
OR 1180,MTH 452
OR 98,MTH 452
OR 1166,MTH 452
ST 202,OR 919
ST 352,OR 919
PH 212,OR 171
PH 212H,OR 171
CH 331,OR 555
CH 332,OR 555
AEC 250,OR 69
AREC 250,OR 69
ECON 201,OR 69
ECON 201H,OR 69
OR 176,BEE 446
MTH 264,OR 1155
MTH 264H,OR 1155
CHE 331H,OR 628
MTH 112,OR 862
MTH 241,OR 862
MTH 251,OR 862
MTH 251H,OR 862
MTH 252,OR 862
MTH 252H,OR 862
OR 506,OR 502
OR 954,OR 502
OR 95,MTH 256H
MTH 254,OR 101
CH 123,OR 809
CH 223,OR 809
CH 226H,OR 809
CH 233,OR 809
ST 351,OR 257
ST 351H,OR 257
MTH 111,CH 231H
OR 101,CH 231H
OR 507,CH 231H
OR 508,CH 231H
OR 509,CH 231H
OR 510,CH 231H
OR 511,CH 231H
OR 513,CH 231H
OR 454,CBEE 212
OR 458,CBEE 212
OR 1162,MTH 351
BEE 312,OR 176
CE 313,OR 176
MTH 111,OR 609
MTH 112,OR 609
OR 21,OR 153
OR 22,OR 153
OR 133,OR 548
OR 546,OR 548
CH 331,FST 460
CH 332,FST 460
OR 21,FST 460
PH 211,OR 798
PH 211H,OR 798
OR 452,MTH 254
OR 798,PH 212
FES 240,OR 898
FOR 240,OR 898
OR 543,CH 324
OR 544,CH 324
CH 261,OR 219
OR 201,OR 219
OR 202,OR 219
CH 271H,OR 203
SOIL 206,SOIL 205
OR 1544,SOIL 205
OR 1192,MTH 481
OR 98,MTH 481
MTH 265,OR 1166
MTH 265H,OR 1166
CE 361,OR 865
CEM 263,OR 865
OR 542,CH 273
OR 548,CH 331
OR 543,CH 331
OR 1132,MTH 111
OR 543,CH 334
OR 548,CH 334
CH 261,OR 208
OR 201,OR 208
OR 202,OR 208
OR 203,OR 208
BI 211,OR 20
BI 211H,OR 20
OR 635,CE 411
MTH 341,MTH 480
OR 98,MTH 480
MTH 227,OR 181
MTH 251,OR 181
MTH 251H,OR 181
SOIL 205,OR 872
CSS 305,OR 872
CSS 205,OR 872
OR 623,CE 469
MTH 065,MTH 095
CH 231,OR 198
OR 94,OR 198
CH 222,OR 534
ENVE 421,ENVE 422
MTH 112,OR 1134
MTH 150,OR 1134
BEE 322,BEE 469
OR 888,FOR 330
OR 69,FOR 330
OR 452,MTH 253
BEE 222,BEE 320
OR 98,BEE 320
MTH 112,OR 507
OR 644,FE 479
CE 361,OR 623
CEM 263,OR 623
FE 208,OR 623
OR 870,FE 423
CH 121,OR 212
OR 214,OR 212
OR 215,OR 212
OR 216,OR 212
OR 196,OR 212
OR 918,GEOG 481
OR 919,GEOG 481
MTH 111,CH 201
OR 507,CH 201
OR 508,CH 201
OR 509,CH 201
OR 510,CH 201
OR 511,CH 201
OR 513,CH 201
OR 101,CH 201
CH 334,CH 335
OR 95,MTH 341
OR 539,CH 263H
CH 123,OR 351
OR 352,OR 351
MTH 241,OR 888
MTH 245,OR 888
MTH 251,OR 888
MTH 251H,OR 888
MTH 252,OR 888
MTH 252H,OR 888
CH 121,OR 232
CH 201,OR 232
CH 221,OR 232
CH 224H,OR 232
CH 335,CH 336
OR 257,ST 352
OR 173,CEM 263
MTH 253,OR 1162
MTH 306,OR 1162
MTH 306H,OR 1162
MTH 251H,OR 509
OR 1612,WR 327
CE 311,OR 625
OR 626,OR 625
OR 627,OR 625
OR 628,OR 625
OR 964,HORT 360
OR 965,HORT 360
OR 534,CH 233
OR 504,CH 233
OR 234,OR 500
OR 452,MTH 265
CH 224H,OR 215
CH 121,OR 871
CH 201,OR 871
CH 231,OR 871
OR 20,OR 110
OR 21,OR 110
OR 22,OR 110
BI 213,OR 22
BI 213H,OR 22
OR 470,CHE 331
OR 98,CHE 331
MTH 341,OR 1182
OR 208,OR 205
OR 198,OR 205
OR 541,CH 272
OR 619,CE 202
MTH 306,OR 632
MTH 306H,OR 632
BI 204,OR 114
BI 205,OR 114
BI 206,OR 114
OR 110,BI 311H
OR 114,BI 311H
MTH 111,MTH 245
CHE 331,OR 627
MTH 251,OR 66
MTH 251H,OR 66
OR 452,MTH 306H
OR 1182,OR 1180
OR 1183,OR 1180
OR 632,OR 1180
OR 862,FE 209
CBEE 211,OR 454
CBEE 211H,OR 454
OR 807,ENVE 425
OR 632,OR 1156
CH 121,OR 222
OR 226,OR 222
