PH 201,1
BB 350,2
BI 314H,1
CH 261,1
OR 352,2
BEE 222,1
OR 866,1
OR 839,1
OR 196,1
ECON 201H,1
FST 461,2
OR 626,1
BI 314,1
OR 614,1
BI 204,1
OR 910,1
OR 214,1
OR 296,1
OR 543,1
CBEE 211,1
CE 361,4
MTH 252H,1
OR 1591,1
FES 485,1
OR 342,1
ENGR 213H,1
CE 415,1
OR 918,1
OR 859,1
OR 21,1
OR 305,1
CH 262H,1
CH 332,1
OR 1197,1
PH 201H,1
BEE 468,1
OR 722,1
BEE 433,1
FW 435,1
AREC 351,1
GEOG 580,1
BEE 458,1
CBEE 212H,2
BI 213,1
OR 87,1
OR 174,1
BI 206,1
OR 226,2
CEM 311,1
MB 303,1
BI 420,1
MTH 251H,1
OR 234,1
ENGR 213,1
GEO 102H,1
CH 232,2
CSS 305,1
FE 315,1
OR 1183,1
OR 804,2
ENGR 248,1
OR 1306,1
OR 216,2
MTH 264H,1
CH 337,1
BI 212H,1
OR 807,1
OR 499,1
OR 870,1
OR 537,1
ENGR 212,2
OR 1194,1
OR 877,1
OR 456,1
CE 412,1
OR 197,2
FE 257,1
CH 225H,1
OR 1307,1
BEE 311,3
MTH 227,1
OR 621,1
OR 340,2
OR 556,3
MTH 103,1
OR 644,1
OR 808,4
BI 370,1
FE 208,1
OR 458,2
FST 360,2
MTH 241,1
CH 123,1
OR 864,1
OR 954,2
CH 232H,2
OR 460,1
HORT 285,1
OR 133,1
FOR 460,1
CH 233H,2
FE 316,2
FE 457,1
ENVE 431,1
CH 224H,1
CH 262,1
FOR 457,1
MTH 265H,1
GEO 444,1
BI 311,1
FOR 240,1
BB 450,1
OR 1544,1
GEOG 201,1
FE 310,2
BI 205,1
MTH 264,1
ENVE 322,1
FE 371,2
ST 422,1
OR 541,1
MB 479,5
OR 237,2
OR 1612,1
FST 421,1
MTH 482,1
MTH 306,1
MTH 581,1
PH 213,1
OR 179,1
CH 221H,1
MTH 252,1
OR 98,1
OR 173,1
OR 931,1
FST 466,3
FW 251,1
OR 508,1
OR 622,1
BEE 472,3
CE 479,1
CH 202,1
OR 1193,2
OR 805,1
BEE 322,1
FST 490,2
OR 546,1
CE 465,1
MB 302,2
OR 344,1
HORT 318,1
MTH 254H,1
OR 610,1
OR 619,1
OR 201,1
FOR 441,2
OR 180,1
OR 513,1
CH 222,1
OR 235,1
OR 511,1
CH 121,1
OR 1132,1
BEE 470,1
CH 263,1
CE 201,1
MTH 251,1
OR 94,1
BEE 221,2
ST 202,1
PHL 205,1
CBEE 211H,1
OR 202,1
CH 231,8
BI 371,1
OR 452,1
CH 122,1
FW 456,1
ENGR 211H,1
