OR 499,1
CH 231,8
CHE 331H,2
MTH 065,1
CHE 331,2
CH 332,1
CH 202,1
ENGR 212,2
CH 271,1
CH 273,1
OR 609,1
CH 262,1
OR 798,1
OR 190,1
CH 335,1
BB 450,1
CH 121,1
CH 331,1
CH 263,1
MTH 251H,1
OR 621,1
OR 505,1
OR 470,2
CH 224H,1
CBEE 280,2
OR 541,1
PH 213,1
OR 809,1
CH 223,1
CCE 201,3
WR 121H,1
CHE 334,2
CBEE 212,2
CH 233H,2
OR 173,1
CHE 333H,1
OR 506,2
WR 327,1
BB 451,1
OR 454,1
OR 450,1
OR 1132,1
CBEE 414,3
CH 232H,2
OR 101,1
OR 458,2
ENGR 211,1
OR 475,1
COMM 111,1
OR 626,1
CE 372,4
CE 313,1
GEO 221,1
ENVE 431,1
OR 507,1
MTH 254H,1
OR 513,1
OR 546,1
MTH 111,1
OR 805,1
CH 221,1
CH 272,1
PH 212,1
CH 232,2
ENGR 211H,1
OR 804,2
OR 534,1
OR 510,1
CH 201,8
MTH 095,1
CBEE 211,1
OR 502,1
CH 336,1
BB 450H,1
OR 1612,1
OR 543,1
CBEE 320,1
ENVE 422,1
MTH 252H,1
OR 214,1
MTH 150,1
CBEE 211H,1
OR 614,1
CHE 333,1
BIOE 457,2
OR 133,1
CHE 311,2
OR 508,1
OR 504,1
OR 188,1
CH 225H,1
OR 95,1
OR 136,1
CE 311,4
CH 222,1
CH 440,1
OR 150,1
COMM 114,1
ENVE 321,1
OR 610,1
OR 460,1
CE 412,1
OR 98,1
CH 205,1
OR 807,1
CHE 332,2
BB 451H,1
OR 456,1
MTH 252,1
CH 263H,1
CH 231H,8
OR 511,1
OR 66,1
CH 261H,1
CBEE 213,2
ENGR 213,1
CH 226H,1
OR 548,2
OR 479,2
CHE 332H,2
CEM 311,1
OR 954,2
OR 628,1
OR 627,1
OR 452,1
CH 122,1
OR 542,1
ENVE 421,1
OR 1134,1
CH 123,1
ENVE 322,1
OR 808,4
MTH 251,1
MTH 256H,1
OR 462,1
CH 334,1
OR 509,1
ENVE 415,1
CBEE 102,1
OR 537,1
PH 211,1
OR 810,1
PH 211H,1
CH 262H,1
MTH 306,1
OR 477,1
MTH 112,1
CH 233,2
CBEE 212H,2
CH 261,1
MTH 254,1
ENVE 490,2
MTH 241,1
ENGR 213H,1
MTH 103,1
OR 514,1
MB 230,1
OR 625,4
WR 121,1
MTH 256,1
OR 539,1
ENVE 425,1
OR 234,1
OR 135,1
OR 500,1
env_engr,165
