OR 0,ALS 161
ALS 150,ALS 161
ALS 151,ALS 161
ALS 150,OR 0
ALS 151,OR 0
OR 1,ALS 162
ALS 150,ALS 162
ALS 151,ALS 162
ALS 150,OR 1
ALS 151,OR 1
BA 211,OR 2
BA 211H,OR 2
OR 3,ACTG 317
OR 2,ACTG 317
BA 213,OR 3
BA 213H,OR 3
ACTG 317,ACTG 318
ACTG 318,ACTG 319
ACTG 317,ACTG 321
BA 211,OR 4
BA 211H,OR 4
OR 5,ACTG 326
OR 4,ACTG 326
BA 213,OR 5
BA 213H,OR 5
BA 213,OR 6
BI 213H,OR 6
OR 8,ACTG 378
OR 7,ACTG 378
OR 6,ACTG 378
BA 270,OR 7
BA 270H,OR 7
BA 302,OR 7
BA 275,OR 8
BA 275H,OR 8
BA 276,OR 8
BA 213,OR 9
BA 213H,OR 9
OR 11,ACTG 378H
OR 10,ACTG 378H
OR 9,ACTG 378H
BA 270,OR 10
BA 270H,OR 10
BA 302,OR 10
BA 275,OR 11
BA 275H,OR 11
BA 276,OR 11
OR 12,ACTG 379
ACTG 318,ACTG 379
ACTG 378,OR 12
ACTG 378H,OR 12
ACTG 319,ACTG 414
ACTG 319,ACTG 415
ACTG 319,ACTG 416
ACTG 319,ACTG 417
ACTG 319,ACTG 418
ACTG 319,ACTG 419
ACTG 319,OR 13
BA 372,OR 13
ACTG 378,ACTG 420
OR 13,ACTG 420
ACTG 319,ACTG 422
ACTG 321,ACTG 422
BA 357,ACTG 422
ACTG 319,ACTG 424
ACTG 325,OR 14
ACTG 424,OR 14
OR 14,ACTG 425
ACTG 319,ACTG 427
ACTG 427,ACTG 428
ACTG 516,OR 15
ACTG 517,OR 15
OR 15,ACTG 518
ACTG 518,ACTG 519
BA 528,ACTG 524
AHE 522,AHE 523
AHE 522,OR 16
AHE 523,OR 16
OR 16,AHE 524
AHE 522,OR 17
AHE 523,OR 17
AHE 524,OR 17
OR 17,AHE 525
AHE 553,AHE 533
AHE 612,OR 18
AHE 613,OR 18
AHE 614,OR 18
OR 18,AHE 615
AHE 611,AHE 616
AHE 672,AHE 673
AHE 673,AHE 674
AHE 674,AHE 675
ENGR 211,AAE 210
ME 317,OR 19
ME 317H,OR 19
OR 20,AAE 412
OR 19,AAE 412
ME 373,OR 20
ME 373H,OR 20
ASL 111,ASL 112
ASL 112,ASL 113
ASL 113,ASL 211
ASL 211,ASL 212
ASL 212,ASL 213
BI 211,OR 21
BI 211H,OR 21
CH 121,ANS 302
CH 122,ANS 302
CH 123,ANS 302
OR 23,ANS 302
OR 22,ANS 302
OR 21,ANS 302
BI 212,OR 22
BI 212H,OR 22
BI 213,OR 23
BI 213H,OR 23
BI 211,OR 24
BI 211H,OR 24
OR 25,ANS 311
OR 24,ANS 311
BI 212,OR 25
BI 212H,OR 25
BI 211,OR 26
BI 211H,OR 26
OR 27,ANS 316
OR 26,ANS 316
CH 121,OR 27
CH 221,OR 27
CH 231,OR 27
CH 231H,OR 27
ANS 316,ANS 317
BI 211,OR 28
BI 211H,OR 28
OR 29,ANS 320
OR 28,ANS 320
BI 212,OR 29
BI 212H,OR 29
ANS 220,ANS 333
BI 102,OR 30
BI 213,OR 30
OR 30,ANS 341
BI 211,OR 31
BI 212,OR 31
BI 213,OR 31
OR 31,ANS 378
BI 211,OR 32
BI 211H,OR 32
OR 34,ANS 380
OR 33,ANS 380
OR 32,ANS 380
